,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
149,Wild West Faro,GAME_CASINO,4.9,23,1.49,100,Alpha Innovation Game Studios Ltd.,https://play.google.com/store/apps/details?id=com.AlphaInnovation.WildWestFaroBTT,149.0
150,Let's Create! Pottery,GAME_CASUAL,4.6,27522,4.99,100000,Infinite Dreams,https://play.google.com/store/apps/details?id=pl.idreams.pottery,499000.0
151,Tamagotchi Classic - Gen1,GAME_CASUAL,3.8,793,0.99,50000,BANDAI NAMCO Entertainment Inc.,https://play.google.com/store/apps/details?id=com.bandainamcoent.tamagothiclassicus,49500.0
152,Game Dev Story,GAME_CASUAL,4.6,61931,2.49,500000,"Kairosoft Co.,Ltd",https://play.google.com/store/apps/details?id=net.kairosoft.android.gamedev3en,1245000.0
153,Meme Soundboard PRO 2019,GAME_CASUAL,4.7,862,0.99,10000,Zeptars,https://play.google.com/store/apps/details?id=com.zeptars.memesoundboardpro,9900.0
154,FINAL FANTASY,GAME_CASUAL,3.9,7734,7.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.finalfantasy,799000.0
155,Jazza's Arty Games,GAME_CASUAL,4.8,2980,2.99,50000,Jazza Studios,https://play.google.com/store/apps/details?id=com.JazzaStudios.JazzasArtyGames,149500.0
156,Hidden Folks,GAME_CASUAL,4.8,893,3.99,10000,Adriaan de Jongh,https://play.google.com/store/apps/details?id=com.adriaandejongh.hiddenfolks,39900.0
157,My PlayHome : Play Home Doll House,GAME_CASUAL,4.6,3814,3.49,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome,174500.0
158,Little Inferno,GAME_CASUAL,4.5,14057,4.99,100000,Tomorrow Corporation,https://play.google.com/store/apps/details?id=com.littleinferno.google,499000.0
159,SpongeBob's Game Frenzy,GAME_CASUAL,4.1,1608,2.99,50000,Nickelodeon,https://play.google.com/store/apps/details?id=com.mtvn.SBminigame,149500.0
160,My PlayHome Hospital,GAME_CASUAL,4.7,1065,2.99,10000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.hospital,29900.000000000004
161,My PlayHome Stores,GAME_CASUAL,4.5,2021,2.99,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.stores,149500.0
162,My PlayHome School,GAME_CASUAL,4.6,1711,2.99,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.school,149500.0
163,Fieldrunners HD,GAME_CASUAL,3.5,8395,1.99,100000,"Subatomic Studios, LLC",https://play.google.com/store/apps/details?id=com.subatomicstudios,199000.0
164,Grow Spaceship VIP - Galaxy Battle,GAME_CASUAL,4.5,625,0.99,10000,PixelStar Games,https://play.google.com/store/apps/details?id=com.pixelstar.GrowSpaceshipVIP,9900.0
165,supertype,GAME_CASUAL,4.4,85,1.99,5000,Philipp Stollenmayer,https://play.google.com/store/apps/details?id=de.kamibox.typo,9950.0
166,Fieldrunners 2,GAME_CASUAL,4.3,10490,2.99,100000,"Subatomic Studios, LLC",https://play.google.com/store/apps/details?id=com.subatomicstudios.fieldrunners2,299000.0
167,Wedding Dash Deluxe,GAME_CASUAL,3.8,4068,1.99,50000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.weddingdashdeluxe,99500.0
168,SpongeBob Diner Dash Deluxe,GAME_CASUAL,4.1,1257,1.99,10000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.dinerdashspongebobdeluxe,19900.0
169,Brink of Consciousness (Full),GAME_CASUAL,4.2,3957,0.99,10000,Big Fish Games,https://play.google.com/store/apps/details?id=com.bigfishgames.doriangraygoogfull,9900.0
170,Burger Shop 2 Deluxe,GAME_CASUAL,4.9,362,1.99,5000,GoBit Games,https://play.google.com/store/apps/details?id=com.gobit.burgershop2.premium,9950.0
171,Sand! Premium,GAME_CASUAL,4.4,2964,0.99,50000,Single Cell Software,https://play.google.com/store/apps/details?id=com.singlecellsoftware.sandpremium,49500.0
172,Hotel Dash Deluxe,GAME_CASUAL,3.7,3781,1.99,50000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.hoteldashdeluxe,99500.0
173,Virtual Families,GAME_CASUAL,3.9,5517,1.99,100000,"Last Day of Work, LLC",https://play.google.com/store/apps/details?id=com.ldw.android.vf,199000.0
174,Haunted Hotel: Death Sentence (Full),GAME_CASUAL,4.4,1241,2.99,10000,Big Fish Games,https://play.google.com/store/apps/details?id=com.bigfishgames.hhdsgoogfull,29900.000000000004
175,Wonderland : Peter Pan,GAME_EDUCATIONAL,4.5,15,2.99,500,My Town Games Ltd,https://play.google.com/store/apps/details?id=wonderland.peterpan,1495.0
176,Teach Your Monster to Read - Phonics and Reading,GAME_EDUCATIONAL,4.4,786,4.99,100000,Teach Monster Games Limited,https://play.google.com/store/apps/details?id=com.teachyourmonstertoread.tmapp,499000.0
177,Toca Boo,GAME_EDUCATIONAL,4.2,1877,3.99,50000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocaboo,199500.0
